Tick,Throttle,Speed,Current,Voltage
57506,0,29120,6849,52152
57556,0,29120,6849,52152
57606,0,29120,6849,52152
57656,0,30263,6849,52043
57706,0,30263,6849,52043
57756,0,30263,6849,52043
57891,0,30263,12569,52043
57941,0,30263,12569,52043
57991,0,30263,12569,52043
58041,0,30263,12569,51035
58091,0,30263,12569,51035
58141,0,30263,12569,51035
58191,0,30263,12569,51035
58241,0,29692,13044,51035
58333,0,29692,13044,51035
58383,0,29692,13044,51035
58433,0,30263,13044,51035
58483,0,30263,13044,50895
58533,0,30263,13044,50895
58583,0,30263,13044,50895
58633,0,30263,13044,50895
58683,0,30263,14546,50895
58733,0,30263,14546,50895
58783,0,30263,14546,50895
58833,0,30881,14546,50895
58883,0,30881,14546,50765
59018,0,30881,14546,50765
59068,0,30263,14796,50765
59118,0,30263,14796,50765
59168,0,30263,14796,50765
59218,0,30263,14796,50765
59268,0,30881,14796,50724
59360,0,30881,14796,50724
59410,0,30881,14796,50724
59460,0,31498,14890,50724
59510,0,31498,14890,50724
59560,0,31498,14890,50724
59610,0,31498,14890,50724
59660,0,30881,14890,50687
59710,0,30881,14890,50687
59760,0,30881,14890,50687
59810,0,30881,14890,50687
59860,0,31498,15008,50687
59910,0,31498,15008,50687
59960,0,31498,15008,50687
60010,0,31498,15008,50687
60145,0,32162,15008,50650
60195,0,32162,15008,50650
60245,0,32162,15008,50650
60295,0,32162,15134,50650
60387,0,32162,15134,50650
60437,0,31498,15134,50650
60487,0,31498,15134,50616
60537,0,31498,15134,50616
60587,0,31498,15134,50616
60637,0,32162,15134,50616
60687,0,32162,15262,50616
60737,0,32162,15262,50616
60787,0,32162,15262,50616
60837,0,32162,15262,50616
60887,0,32162,15262,50577
60937,0,32162,15262,50577
60987,0,32162,15262,50577
61037,0,32162,15262,50577
61087,0,32162,15345,50577
61137,0,32162,15345,50577
61272,0,32162,15345,50548
61364,0,32162,15345,50548
61414,0,32162,15345,50548
61464,0,32842,15477,50548
61514,0,32842,15477,50548
61564,0,32842,15477,50548
61614,0,32842,15477,50548
61664,0,32842,15477,50548
61714,0,32842,15477,50492
61764,0,32842,15477,50492
61814,0,32842,15477,50492
61864,0,32842,15477,50492
61914,0,32842,15595,50492
61964,0,32842,15595,50492
62014,0,32842,15595,50492
62064,0,33552,15595,50492
62114,0,33552,15595,50480
62164,0,33552,15595,50480
62214,0,33552,15595,50480
62306,0,33552,15679,50480
62441,0,32842,15679,50480
62491,0,32842,15679,50438
62541,0,32842,15679,50438
62591,0,32842,15679,50438
62641,0,32842,15679,50438
62691,0,32842,15805,50438
62741,0,32842,15805,50438
62791,0,32842,15805,50438
62841,0,32162,15805,50438
62891,0,32162,15805,50393
62941,0,32162,15805,50393
62991,0,32162,15805,50393
63041,0,32162,15805,50393
63091,0,32162,15910,50393
63141,0,32162,15910,50393
63191,0,32162,15910,50393
63326,0,32842,15910,50374
63418,0,32842,15910,50374
63468,0,32842,15910,50374
63518,0,32842,16056,50374
63568,0,32842,16056,50374
63618,0,32842,16056,50374
63668,0,33552,16056,50374
63718,0,33552,16056,50351
63768,0,33552,16056,50351
63818,0,33552,16056,50351
63868,0,32842,16056,50351
63918,0,32842,16166,50351
63968,0,32842,16166,50351
64018,0,32842,16166,50351
64068,0,33552,16166,50351
64118,0,33552,16166,50311
64168,0,33552,16166,50311
64218,0,33552,16166,50311
64310,0,33552,16256,50311
64360,0,33552,16256,50311
64495,0,34309,16256,50303
64545,0,34309,16256,50303
64595,0,34309,16256,50303
64645,0,35081,16256,50303
64695,0,35081,16344,50303
64745,0,35081,16344,50303
64795,0,35081,16344,50303
64845,0,34309,16344,50303
64895,0,34309,16344,50236
64945,0,34309,16344,50236
64995,0,34309,16344,50236
65045,0,34309,16344,50236
65095,0,34309,16495,50236
65145,0,34309,16495,50236
65195,0,34309,16495,50236
65245,0,35081,16495,50236
65337,0,35081,16495,50204
65387,0,35081,16495,50204
65437,0,34309,16495,50204
65487,0,34309,16625,50204
65622,0,34309,16625,50204
65672,0,33552,16625,50204
65722,0,33552,16625,50203
65772,0,33552,16625,50203
65822,0,33552,16625,50203
65872,0,33552,16625,50203
65922,0,33552,16705,50203
65972,0,33552,16705,50203
66022,0,33552,16705,50203
66072,0,33552,16705,50203
66122,0,33552,16705,50174
66172,0,33552,16705,50174
66222,0,33552,16705,50174
66272,0,34309,16705,50174
66364,0,34309,16656,50174
66414,0,34309,16656,50174
66464,0,35899,16656,50174
66514,0,35899,16656,50310
66564,0,35899,16656,50310
66614,0,35899,16656,50310
66749,0,35081,15588,50310
66799,0,35081,15588,50310
66849,0,35899,15588,50310
66899,0,35899,15588,50447
66949,0,35899,15588,50447
66999,0,35899,15588,50447
67049,0,35899,15588,50447
67099,0,35899,14976,50447
67149,0,35899,14976,50447
67199,0,35899,14976,50447
67249,0,34309,14976,50447
67341,0,34309,14976,50584
67391,0,34309,14976,50584
67441,0,35081,14976,50584
67491,0,35081,14976,50584
67541,0,35081,13738,50584
67591,0,35081,13738,50584
67641,0,34309,13738,50584
67691,0,34309,13738,50584
67741,0,34309,13738,50755
67876,0,35899,13738,50755
67926,0,35899,12743,50755
67976,0,35899,12743,50755
68026,0,35081,12743,50755
68076,0,35081,12743,50755
68126,0,35081,12743,51135
68176,0,35081,12743,51135
68226,0,35899,12743,51135
68276,0,35899,12743,51135
68368,0,35899,7442,51135
68418,0,35899,7442,51135
68468,0,35899,7442,51135
68518,0,35899,7442,51810
68568,0,35899,7442,51810
68618,0,35899,7442,51810
68668,0,35081,7442,51810
68718,0,35081,6333,51810
68768,0,35081,6333,51810
68818,0,35081,6333,51810
68868,0,35081,6333,51810
69003,0,35081,6333,52106
69053,0,35081,6333,52106
69103,0,35081,6333,52106
69153,0,35081,4458,52106
