Tick,Throttle,Speed,Current,Voltage,,
69782,0,4400,4228,51598,,
69832,0,5033,4228,51598,,
69882,0,5033,4228,51598,,
69932,0,5033,4417,51598,,
69982,0,5033,4417,51598,,
70032,0,5033,4417,51598,,
70082,0,5033,4417,51598,,
70218,0,5033,4417,51560,,
70268,0,5033,4417,51560,,
70318,0,5033,4594,51560,,
70368,0,5033,4594,51560,,
70418,0,5033,4594,51560,,
70468,0,5604,4594,51560,,
70518,0,5604,4594,51516,,
70568,0,5604,4594,51516,,
70618,0,5604,4594,51516,,
70668,0,5604,4594,51516,,
70718,0,5604,4804,51516,,
70768,0,5604,4804,51516,,
70861,0,5604,4804,51516,,
70911,0,5604,4804,51516,,
70961,0,5604,4804,51473,,
71011,0,5604,4804,51473,,
71061,0,6114,4804,51473,,
