Tick,Throttle,Speed,Current,Voltage
108210,0, 0, 193, 52388
108260,0, 0, 193, 52388
108310,0, 0, 193, 52388
108360,0, 0, 193, 52388
108410,0, 0, 193, 52390
108460,0, 0, 193, 52390
108510,0, 0, 193, 52390
108560,0, 0, 193, 52390
108610,0, 0, 193, 52390
108660,0, 0, 193, 52390
108710,0, 0, 193, 52390
108760,0, 0, 193, 52390
108810,0, 0, 193, 52390
108860,0, 0, 193, 52390
108910,0, 0, 193, 52390
109002,0, 0, 193, 52390
109137,0, 0, 193, 52390
109187,0, 0, 193, 52391
109237,0, 0, 193, 52391
109287,0, 0, 193, 52391
109337,0, 0, 193, 52391
109387,0, 0, 193, 52391
109437,0, 0, 193, 52391
109487,0, 0, 193, 52391
109537,0, 0, 193, 52391
109587,0, 0, 193, 52392
109637,0, 0, 193, 52392
109687,0, 0, 193, 52392
109737,0, 0, 193, 52392
109787,0, 0, 192, 52392
109837,0, 0, 192, 52392
109887,0, 0, 192, 52392
109937,0, 0, 192, 52392
109987,0, 0, 192, 52392
110037,0, 0, 192, 52392
110087,0, 0, 192, 52392
110265,0, 0, 193, 52392
110315,0, 0, 193, 52392
110365,0, 0, 193, 52392
110415,0, 0, 193, 52393
110465,0, 0, 193, 52393
110515,0, 0, 193, 52393
110565,0, 0, 193, 52393
110615,0, 0, 194, 52393
110665,0, 0, 194, 52393
110715,0, 0, 194, 52393
110765,0, 0, 194, 52393
110815,0, 0, 194, 52394
110865,0, 0, 194, 52394
110915,0, 0, 194, 52394
110965,0, 0, 194, 52394
111015,0, 0, 193, 52394
111065,0, 0, 193, 52394
111115,0, 0, 193, 52394
111165,0, 0, 193, 52394
111215,0, 0, 193, 52395
111351,0, 0, 193, 52395
111401,0, 0, 192, 52395
111493,0, 0, 192, 52395
111543,0, 0, 192, 52395
111593,0, 0, 192, 52395
111643,0, 0, 192, 52395
111693,0, 0, 192, 52395
111743,0, 0, 192, 52395
111793,0, 0, 192, 52395
111843,0, 0, 192, 52395
111893,0, 0, 192, 52395
111943,0, 0, 192, 52395
111993,0, 0, 192, 52397
112043,0, 0, 192, 52397
112093,0, 0, 192, 52397
112143,0, 0, 192, 52397
112193,0, 0, 193, 52397
112243,0, 0, 193, 52397
112293,0, 0, 193, 52397
112343,0, 0, 193, 52397
112479,0, 0, 193, 52396
112529,0, 0, 193, 52396
112579,0, 0, 193, 52396
112671,0, 0, 194, 52396
112721,0, 0, 194, 52396
112771,0, 0, 194, 52396
112821,0, 0, 194, 52398
112871,0, 0, 194, 52398
112921,0, 0, 194, 52398
112971,0, 0, 194, 52398
113021,0, 0, 193, 52398
113071,0, 0, 193, 52398
113121,0, 0, 193, 52398
113171,0, 0, 193, 52398
113221,0, 0, 193, 52398
113271,0, 0, 193, 52398
113407,0, 0, 193, 52398
113457,0, 0, 193, 52398
113507,0, 0, 193, 52398
113557,0, 0, 193, 52398
113607,0, 0, 193, 52398
113657,0, 0, 193, 52398
113707,0, 0, 193, 52398
113757,0, 0, 193, 52398
113849,0, 0, 193, 52398
113899,0, 0, 193, 52398
113949,0, 0, 193, 52398
113999,0, 0, 193, 52398
114049,0, 0, 193, 52399
114099,0, 0, 193, 52399
114149,0, 0, 193, 52399
114199,0, 0, 193, 52399
114249,0, 0, 192, 52399
114299,0, 0, 192, 52399
114349,0, 0, 192, 52399
114399,0, 0, 192, 52399
114535,0, 0, 192, 52399
114585,0, 0, 192, 52399
114635,0, 0, 193, 52399
114685,0, 0, 193, 52399
114735,0, 0, 193, 52399
114785,0, 0, 193, 52399
114835,0, 0, 193, 52401
114885,0, 0, 193, 52401
114935,0, 0, 193, 52401
114985,0, 0, 193, 52401
115077,0, 0, 193, 52401
115127,0, 0, 193, 52401
115177,0, 0, 193, 52401
115227,0, 0, 193, 52402
115277,0, 0, 193, 52402
115327,0, 0, 193, 52402
115377,0, 0, 193, 52402
115427,0, 0, 193, 52402
115477,0, 0, 193, 52402
115527,0, 0, 193, 52402
115663,0, 0, 193, 52402
115713,0, 0, 193, 52402
115763,0, 0, 193, 52402
115813,0, 0, 193, 52402
115863,0, 0, 193, 52402
115913,0, 0, 193, 52402
115963,0, 0, 193, 52402
116013,0, 0, 193, 52402
116063,0, 0, 193, 52402
116113,0, 0, 193, 52402
116163,0, 0, 193, 52402
116255,0, 0, 193, 52402
116305,0, 0, 193, 52402
116355,0, 0, 193, 52402
116405,0, 0, 193, 52402
116455,0, 0, 193, 52403
116505,0, 0, 193, 52403
116555,0, 0, 193, 52403
116605,0, 0, 193, 52403
116655,0, 0, 194, 52403
116791,0, 0, 194, 52403
116841,0, 0, 194, 52404
116891,0, 0, 194, 52404
116941,0, 0, 194, 52404
116991,0, 0, 194, 52404
117041,0, 0, 193, 52404
117091,0, 0, 193, 52404
117141,0, 0, 193, 52404
117191,0, 0, 193, 52404
117241,0, 0, 193, 52405
117291,0, 0, 193, 52405
117341,0, 0, 193, 52405
117433,0, 0, 192, 52405
117483,0, 0, 192, 52405
117533,0, 0, 192, 52405
117583,0, 0, 192, 52405
117633,0, 0, 192, 52406
